Date,Css Lab (428) Air Temperature Observed (degC),Css Lab (428) Air Temperature Observed QC Flag,Css Lab (428) Precipitation Accumulation (mm),Css Lab (428) Precipitation Accumulation QC Flag,Css Lab (428) Snow Depth (cm),Css Lab (428) Snow Depth QC Flag,Css Lab (428) Snow Water Equivalent (mm),Css Lab (428) Snow Water Equivalent QC Flag,Css Lab (428) Soil Moisture Percent -2in (pct),Css Lab (428) Soil Moisture Percent -2in QC Flag,Css Lab (428) Soil Moisture Percent -8in (pct),Css Lab (428) Soil Moisture Percent -8in QC Flag,Css Lab (428) Soil Moisture Percent -20in (pct),Css Lab (428) Soil Moisture Percent -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC),Css Lab (428) Soil Temperature Observed -2in QC Flag,Css Lab (428) Soil Temperature Observed -8in (degC),Css Lab (428) Soil Temperature Observed -8in QC Flag,Css Lab (428) Soil Temperature Observed -20in (degC),Css Lab (428) Soil Temperature Observed -20in QC Flag
2018-10-04 01:00,6.8,V,10,V,0,V,0,V,0.0,V,0.0,V,3.5,V,14.8,V,15.8,V,15.7,V
2018-10-04 02:00,6.7,V,10,V,0,V,0,V,0.0,V,0.0,V,3.5,V,14.7,V,15.7,V,15.7,V
2018-10-04 03:00,6.7,V,10,V,0,V,0,V,0.0,V,0.0,V,17.9,V,14.6,V,15.6,V,15.7,V
2018-10-04 04:00,6.7,V,10,V,0,V,0,V,0.0,V,0.0,V,17.0,V,14.5,V,15.6,V,15.7,V
2018-10-04 05:00,6.4,V,13,V,0,V,0,V,0.0,V,0.0,V,18.7,V,14.3,V,15.5,V,15.7,V
2018-10-04 06:00,6.3,V,13,V,0,V,0,V,0.0,V,0.0,V,19.2,V,14.2,V,15.4,V,15.7,V
2018-10-04 07:00,6.4,V,13,V,0,V,0,V,0.0,V,0.0,V,19.3,V,14.1,V,15.3,V,15.7,V
2018-10-04 08:00,6.6,V,13,V,0,V,0,V,0.0,V,0.0,V,18.9,V,13.9,V,15.2,V,15.7,V
2018-10-04 09:00,7.0,V,15,V,0,V,0,V,0.0,V,0.0,V,19.3,V,13.8,V,15.2,V,15.7,V
2018-10-04 10:00,7.1,V,18,V,0,V,0,V,0.0,V,0.0,V,19.2,V,13.7,V,15.1,V,15.5,V
2018-10-04 11:00,6.7,V,18,V,0,V,0,V,0.0,V,0.0,V,19.4,V,13.5,V,15.0,V,15.3,V
2018-10-04 12:00,6.2,V,20,V,-3,V,0,V,0.0,V,0.0,V,19.6,V,13.4,V,14.8,V,15.2,V
2018-10-04 13:00,6.1,V,20,V,0,V,0,V,0.0,V,0.0,V,19.7,V,13.2,V,14.6,V,15.0,V
2018-10-04 14:00,5.8,V,20,V,0,V,0,V,0.0,V,0.0,V,19.8,V,13.1,V,14.4,V,15.1,V
2018-10-04 15:00,5.9,V,20,V,0,V,0,V,0.0,V,0.0,V,19.7,V,12.9,V,14.3,V,15.2,V
2018-10-04 16:00,5.9,V,20,V,0,V,0,V,0.0,V,0.0,V,19.4,V,12.8,V,14.1,V,15.3,V
2018-10-04 17:00,5.9,V,20,V,0,V,-3,V,0.0,V,0.0,V,18.7,V,12.7,V,14.0,V,15.3,V
2018-10-04 18:00,5.4,V,20,V,0,V,0,V,0.0,V,0.0,V,18.5,V,12.6,V,13.9,V,15.3,V
2018-10-04 19:00,5.5,V,20,V,0,V,0,V,0.0,V,0.0,V,18.0,V,12.5,V,13.8,V,15.3,V
2018-10-04 20:00,5.5,V,20,V,0,V,0,V,0.0,V,0.0,V,17.8,V,12.5,V,13.8,V,15.3,V
2018-10-04 21:00,5.4,V,20,V,0,V,0,V,0.0,V,0.0,V,17.5,V,12.4,V,13.7,V,15.3,V
2018-10-04 22:00,5.3,V,20,V,0,V,-3,V,0.0,V,0.0,V,17.3,V,12.3,V,13.7,V,15.3,V
2018-10-04 23:00,5.4,V,23,V,0,V,-3,V,0.0,V,0.0,V,17.0,V,12.3,V,13.6,V,15.3,V
2018-10-05 00:00,5.2,V,23,V,0,E,0,E,0.0,V,0.0,V,16.9,V,12.2,V,13.5,V,15.3,V
2018-10-05 01:00,3.5,V,23,V,3,V,-3,V,0.0,V,0.0,V,16.8,V,12.2,V,13.5,V,15.3,V
2018-10-05 02:00,2.4,V,23,V,3,V,-3,V,0.0,V,0.0,V,16.3,V,12.1,V,13.5,V,15.3,V
2018-10-05 03:00,1.7,V,23,V,3,V,-3,V,0.0,V,0.2,V,16.1,V,12.0,V,13.4,V,15.3,V
2018-10-05 04:00,1.4,V,23,V,0,V,-3,V,0.0,V,0.0,V,16.2,V,11.9,V,13.4,V,15.3,V
2018-10-05 05:00,1.1,V,20,V,3,V,-5,V,0.0,V,0.0,V,16.0,V,11.7,V,13.3,V,15.2,V
2018-10-05 06:00,1.1,V,23,V,0,V,-3,V,0.0,V,0.0,V,15.7,V,11.6,V,13.3,V,15.2,V
2018-10-05 07:00,1.4,V,23,V,0,V,-5,V,0.0,V,0.1,V,15.6,V,11.4,V,13.2,V,15.2,V
2018-10-05 08:00,3.7,V,20,V,,,-5,V,0.0,V,0.0,V,15.2,V,11.2,V,13.2,V,15.2,V
2018-10-05 09:00,6.2,V,20,V,-13,V,-5,V,0.0,V,0.0,V,15.1,V,11.0,V,13.1,V,15.2,V
2018-10-05 10:00,8.6,V,20,V,-5,V,-8,V,0.0,V,0.0,V,15.2,V,10.9,V,13.0,V,15.1,V
2018-10-05 11:00,9.3,V,20,V,-5,V,-5,V,0.0,V,0.0,V,14.8,V,11.0,V,12.9,V,15.1,V
2018-10-05 12:00,11.4,V,20,V,-3,V,-5,V,0.0,V,0.0,V,14.9,V,11.4,V,12.9,V,15.1,V
2018-10-05 13:00,11.4,V,23,V,-3,V,0,V,0.0,V,0.0,V,14.9,V,11.9,V,12.8,V,15.1,V
2018-10-05 14:00,10.5,V,25,V,-3,V,0,V,0.0,V,0.0,V,14.6,V,12.5,V,12.8,V,15.1,V
2018-10-05 15:00,10.6,V,25,V,-8,V,0,V,0.0,V,0.0,V,14.5,V,13.1,V,12.8,V,15.1,V
2018-10-05 16:00,9.8,V,25,V,-3,V,3,V,0.0,V,0.0,V,14.3,V,13.6,V,12.8,V,15.0,V
2018-10-05 17:00,8.9,V,28,V,0,V,3,V,0.0,V,0.0,V,14.1,V,13.9,V,12.9,V,15.0,V
2018-10-05 18:00,8.1,V,25,V,0,V,0,V,0.0,V,0.0,V,14.1,V,14.1,V,12.9,V,15.0,V
2018-10-05 19:00,7.6,V,28,V,0,V,0,V,0.0,V,0.0,V,14.0,V,14.1,V,13.1,V,15.0,V
2018-10-05 20:00,7.3,V,28,V,0,V,0,V,0.0,V,0.0,V,14.0,V,14.0,V,13.1,V,15.0,V
2018-10-05 21:00,7.1,V,28,V,0,V,0,V,0.0,V,0.0,V,13.6,V,13.9,V,13.2,V,14.9,V
2018-10-05 22:00,6.0,V,28,V,0,V,0,V,0.0,V,0.0,V,13.7,V,13.8,V,13.3,V,14.9,V
2018-10-05 23:00,4.7,V,28,V,0,V,0,V,0.0,V,0.1,V,13.7,V,13.6,V,13.4,V,14.9,V
2018-10-06 00:00,4.8,V,28,V,0,V,0,V,0.0,V,0.0,V,13.6,V,13.5,V,13.4,V,14.9,V
2018-10-06 01:00,4.4,V,28,V,-3,V,0,V,0.0,V,0.0,V,13.6,V,13.3,V,13.4,V,14.9,V
2018-10-06 02:00,4.4,V,28,V,0,V,0,V,0.0,V,0.0,V,13.4,V,13.2,V,13.4,V,14.8,V
2018-10-06 03:00,4.9,V,28,V,0,V,0,V,0.0,V,0.2,V,13.4,V,13.0,V,13.4,V,14.8,V
2018-10-06 04:00,4.9,V,28,V,0,V,0,V,0.0,V,0.1,V,13.3,V,12.8,V,13.4,V,14.8,V
2018-10-06 05:00,4.9,V,28,V,0,V,0,V,0.0,V,0.1,V,12.9,V,12.7,V,13.4,V,14.8,V
2018-10-06 06:00,4.8,V,28,V,0,V,0,V,0.0,V,0.0,V,13.0,V,12.5,V,13.4,V,14.8,V
2018-10-06 07:00,4.6,V,28,V,0,V,0,V,0.0,V,0.1,V,12.8,V,12.4,V,13.3,V,14.8,V
2018-10-06 08:00,5.3,V,28,V,-5,V,0,V,0.0,V,0.1,V,13.0,V,12.3,V,13.3,V,14.7,V
2018-10-06 09:00,6.5,V,25,V,-3,V,0,V,0.0,V,0.2,V,12.9,V,12.2,V,13.3,V,14.7,V
2018-10-06 10:00,7.6,V,25,V,-5,V,-3,V,0.0,V,0.0,V,12.9,V,12.1,V,13.2,V,14.7,V
2018-10-06 11:00,7.1,V,25,V,0,V,0,V,0.0,V,0.1,V,12.8,V,12.1,V,13.2,V,14.7,V
2018-10-06 12:00,7.3,V,25,V,-3,V,0,V,0.0,V,0.4,V,12.4,V,12.3,V,13.1,V,14.7,V
2018-10-06 13:00,7.7,V,25,V,-3,V,0,V,0.0,V,0.1,V,12.4,V,12.4,V,13.1,V,14.7,V
2018-10-06 14:00,7.9,V,25,V,0,V,0,V,0.0,V,0.0,V,12.5,V,12.6,V,13.1,V,14.7,V
2018-10-06 15:00,7.8,V,28,V,-3,V,0,V,0.0,V,0.1,V,12.4,V,12.7,V,13.1,V,14.7,V
2018-10-06 16:00,8.0,V,28,V,-3,V,3,V,0.0,V,0.0,V,12.3,V,12.8,V,13.1,V,14.7,V
2018-10-06 17:00,7.5,V,28,V,-3,V,3,V,0.0,V,0.1,V,12.3,V,12.9,V,13.1,V,14.7,V
2018-10-06 18:00,6.4,V,28,V,0,V,0,V,0.0,V,0.0,V,12.4,V,12.9,V,13.1,V,14.7,V
2018-10-06 19:00,6.4,V,28,V,0,V,0,V,0.0,V,0.1,V,12.0,V,12.9,V,13.1,V,14.6,V
2018-10-06 20:00,5.1,V,28,V,3,V,0,V,0.0,V,0.4,V,12.3,V,12.8,V,13.1,V,14.6,V
2018-10-06 21:00,5.1,V,28,V,3,V,0,V,0.0,V,0.0,V,11.9,V,12.6,V,13.1,V,14.6,V
2018-10-06 22:00,4.5,V,28,V,0,V,0,V,0.0,V,0.0,V,12.0,V,12.4,V,13.1,V,14.6,V
2018-10-06 23:00,3.9,V,28,V,0,V,0,V,0.0,V,0.0,V,11.7,V,12.2,V,13.1,V,14.6,V
2018-10-07 00:00,3.6,V,28,V,0,V,0,V,0.0,V,0.0,V,11.9,V,12.0,V,13.1,V,14.6,V
2018-10-07 01:00,3.0,V,28,V,3,V,-3,V,0.0,V,0.0,V,11.6,V,11.9,V,13.0,V,14.6,V
2018-10-07 02:00,2.4,V,28,V,3,V,-3,V,0.0,V,0.3,V,11.8,V,11.7,V,13.0,V,14.5,V
2018-10-07 03:00,2.4,V,28,V,3,V,-3,V,0.0,V,0.2,V,11.7,V,11.4,V,12.9,V,14.5,V
2018-10-07 04:00,1.5,V,28,V,3,V,-3,V,0.0,V,0.2,V,11.5,V,11.3,V,12.9,V,14.5,V
2018-10-07 05:00,1.2,V,28,V,3,V,-5,V,0.0,V,0.3,V,11.4,V,11.0,V,12.8,V,14.5,V
2018-10-07 06:00,1.0,V,25,V,3,V,-5,V,0.0,V,0.1,V,11.4,V,10.9,V,12.8,V,14.5,V
2018-10-07 07:00,0.5,V,28,V,0,V,-3,V,0.0,V,0.0,V,11.7,V,10.7,V,12.7,V,14.5,V
2018-10-07 08:00,1.5,V,25,V,0,V,-3,V,0.0,V,0.3,V,11.5,V,10.5,V,12.6,V,14.5,V
2018-10-07 09:00,3.3,V,25,V,0,V,-3,V,0.0,V,0.1,V,11.2,V,10.3,V,12.5,V,14.4,V
2018-10-07 10:00,4.8,V,25,V,-3,V,-8,V,0.0,V,0.2,V,11.5,V,10.1,V,12.4,V,14.4,V
2018-10-07 11:00,6.6,V,25,V,-3,V,-8,V,0.0,V,0.0,V,11.5,V,10.1,V,12.3,V,14.4,V
2018-10-07 12:00,8.1,V,25,V,-5,V,-5,V,0.0,V,0.0,V,11.3,V,10.3,V,12.3,V,14.4,V
2018-10-07 13:00,8.6,V,25,V,-5,V,-3,V,0.0,V,0.4,V,11.2,V,10.5,V,12.2,V,14.4,V
2018-10-07 14:00,9.2,V,28,V,-5,V,0,V,0.0,V,0.1,V,11.2,V,10.9,V,12.1,V,14.4,V
2018-10-07 15:00,9.6,V,30,V,-5,V,0,V,0.0,V,0.0,V,10.8,V,11.5,V,12.1,V,14.4,V
2018-10-07 16:00,8.8,V,28,V,-5,V,3,V,0.0,V,0.3,V,11.0,V,12.0,V,12.1,V,14.4,V
2018-10-07 17:00,7.5,V,30,V,-5,V,3,V,0.0,V,0.0,V,11.1,V,12.5,V,12.1,V,14.4,V
2018-10-07 18:00,5.9,V,28,V,0,V,0,V,0.0,V,0.1,V,10.9,V,12.8,V,12.1,V,14.3,V
2018-10-07 19:00,5.3,V,28,V,3,V,0,V,0.0,V,0.1,V,11.0,V,12.8,V,12.2,V,14.3,V
2018-10-07 20:00,5.2,V,28,V,0,V,0,V,0.0,V,0.0,V,10.9,V,12.7,V,12.3,V,14.3,V
2018-10-07 21:00,4.9,V,28,V,3,V,0,V,0.0,V,0.0,V,11.0,V,12.6,V,12.3,V,14.3,V
2018-10-07 22:00,4.9,V,28,V,3,V,0,V,0.0,V,0.4,V,10.5,V,12.4,V,12.4,V,14.2,V
2018-10-07 23:00,4.7,V,28,V,3,V,0,V,0.0,V,0.3,V,10.6,V,12.2,V,12.5,V,14.2,V
2018-10-08 00:00,4.3,V,30,V,0,V,0,V,0.0,V,0.2,V,10.6,V,12.0,V,12.5,V,14.2,V
2018-10-08 01:00,4.0,V,28,V,0,V,0,V,0.0,V,0.1,V,10.6,V,11.8,V,12.5,V,14.2,V
2018-10-08 02:00,3.7,V,28,V,3,V,0,V,0.0,V,0.2,V,10.6,V,11.6,V,12.5,V,14.2,V
2018-10-08 03:00,3.3,V,28,V,3,V,-3,V,0.0,V,0.3,V,10.4,V,11.4,V,12.5,V,14.2,V
2018-10-08 04:00,3.0,V,28,V,3,V,-3,V,0.0,V,0.0,V,10.4,V,11.2,V,12.4,V,14.2,V
2018-10-08 05:00,3.5,V,28,V,3,V,-3,V,0.0,V,0.0,V,10.7,V,11.0,V,12.4,V,14.2,V
2018-10-08 06:00,3.2,V,28,V,3,V,-3,V,0.0,V,0.0,V,10.5,V,10.8,V,12.3,V,14.2,V
2018-10-08 07:00,4.2,V,28,V,3,V,-5,V,0.0,V,0.0,V,10.5,V,10.7,V,12.3,V,14.2,V
2018-10-08 08:00,4.9,V,25,V,-3,V,-3,V,0.0,V,0.0,V,10.5,V,10.5,V,12.2,V,14.1,V
2018-10-08 09:00,7.3,V,25,V,-5,V,-3,V,0.0,V,0.4,V,10.3,V,10.4,V,12.2,V,14.1,V
2018-10-08 10:00,9.8,V,25,V,-5,V,-8,V,0.0,V,0.0,V,10.4,V,10.2,V,12.1,V,14.1,V
2018-10-08 11:00,10.9,V,25,V,-3,V,-8,V,0.0,V,0.1,V,10.3,V,10.3,V,12.0,V,14.1,V
2018-10-08 12:00,12.4,V,25,V,-5,V,-5,V,0.0,V,0.0,V,10.3,V,10.6,V,12.0,V,14.1,V
2018-10-08 13:00,13.3,V,28,V,-5,V,-3,V,0.0,V,0.4,V,9.8,V,10.9,V,11.9,V,14.1,V
2018-10-08 14:00,14.5,V,28,V,-5,V,0,V,0.0,V,0.0,V,10.4,V,11.5,V,11.9,V,14.0,V
2018-10-08 15:00,14.8,V,30,V,-10,V,0,V,0.0,V,0.2,V,10.1,V,12.2,V,11.9,V,14.0,V
2018-10-08 16:00,13.2,V,33,V,-8,V,3,V,0.0,V,0.4,V,10.1,V,12.9,V,11.9,V,14.0,V
2018-10-08 17:00,11.4,V,33,V,-10,V,5,V,0.0,V,0.0,V,10.1,V,13.4,V,12.0,V,14.0,V
2018-10-08 18:00,9.1,V,30,V,-3,V,3,V,0.0,V,0.0,V,10.1,V,13.8,V,12.1,V,14.0,V
2018-10-08 19:00,7.0,V,30,V,3,V,3,V,0.0,V,0.0,V,10.1,V,13.9,V,12.2,V,13.9,V
2018-10-08 20:00,7.2,V,30,V,0,V,0,V,0.0,V,0.3,V,9.9,V,13.8,V,12.3,V,13.9,V
2018-10-08 21:00,6.7,V,33,V,3,V,0,V,0.0,V,0.0,V,9.9,V,13.7,V,12.4,V,13.9,V
2018-10-08 22:00,5.6,V,30,V,3,V,0,V,0.0,V,0.7,V,9.9,V,13.5,V,12.5,V,13.9,V
2018-10-08 23:00,5.9,V,30,V,3,V,0,V,0.0,V,0.1,V,10.0,V,13.3,V,12.6,V,13.9,V
2018-10-09 00:00,5.3,V,30,V,0,E,0,V,0.0,V,0.5,V,9.6,V,13.1,V,12.7,V,13.9,V
2018-10-09 01:00,4.8,V,30,V,3,V,0,V,0.0,V,0.0,V,9.9,V,12.9,V,12.7,V,13.9,V
2018-10-09 02:00,4.3,V,28,V,0,V,0,V,0.0,V,0.0,V,9.7,V,12.7,V,12.7,V,13.9,V
2018-10-09 03:00,4.1,V,30,V,0,V,0,V,0.0,V,0.0,V,10.0,V,12.5,V,12.7,V,13.9,V
2018-10-09 04:00,3.5,V,30,V,3,V,0,V,0.0,V,0.0,V,9.8,V,12.3,V,12.7,V,13.9,V
2018-10-09 05:00,3.0,V,30,V,3,V,0,V,0.0,V,0.3,V,9.5,V,12.0,V,12.7,V,13.9,V
